|filename|AudioStart|AudioEnd|AudioDuration|FrameStart|FrameEnd|label|ilabel|Text
0|Datasets/affWild2/Audios/audiobatch1/105.wav|44.211|53.487|9.276|1326|1604|Fear|3|IT'S A TIE A TIE
1|Datasets/affWild2/Audios/audiobatch1/362.wav|0.067|1.502|1.435|3|46|Happiness|4|IMMORAL
2|Datasets/affWild2/Audios/audiobatch1/362.wav|161.473|163.910|2.436|4839|4912|Other|7|WE'RE ANXIETY OUT BECAUSE WE ARE TWO
3|Datasets/affWild2/Audios/audiobatch1/440.wav|0.000|2.607|2.607|1|57|Neutral|0|HM HM
4|Datasets/affWild2/Audios/audiobatch1/440.wav|3.213|8.660|5.447|70|187|Neutral|0|AT THE BEGINNING THERE WAS NOTHING
5|Datasets/affWild2/Audios/audiobatch1/440.wav|12.431|12.897|0.466|268|278|Other|7|NYM
6|Datasets/affWild2/Audios/audiobatch1/440.wav|17.227|18.251|1.024|371|393|Other|7|IMMOD
7|Datasets/affWild2/Audios/audiobatch1/440.wav|20.253|21.138|0.885|436|455|Surprise|6|MANSIONS
8|Datasets/affWild2/Audios/audiobatch1/440.wav|27.936|28.867|0.931|601|621|Anger|1|ALEXEY
9|Datasets/affWild2/Audios/audiobatch1/440.wav|36.317|39.855|3.539|781|857|Anger|1|FOR IT BRED THE WARE AND THE YEOMAN
10|Datasets/affWild2/Audios/audiobatch1/440.wav|42.416|44.418|2.002|912|955|Anger|1|A PINNACLE OF BILLIONS OF
11|Datasets/affWild2/Audios/audiobatch1/440.wav|44.558|44.884|0.326|958|965|Anger|1|IMMER
12|Datasets/affWild2/Audios/audiobatch1/440.wav|46.513|48.003|1.490|1000|1032|Anger|1|THE FIFTH OF THE GRADE
13|Datasets/affWild2/Audios/audiobatch1/440.wav|73.704|76.684|2.980|1584|1648|Happiness|4|HM HM GOD EXISTS ER
14|Datasets/affWild2/Audios/audiobatch1/440.wav|84.646|87.020|2.375|1819|1870|Neutral|0|ERMINE FED LIKE A ERMINE
